날짜,지점,강수량(mm)
2019-07-01,전국,0.4
2019-07-02,전국,0
2019-07-03,전국,0
2019-07-04,전국,0
2019-07-05,전국,0
2019-07-06,전국,0
2019-07-07,전국,0.2
2019-07-08,전국,0.5
2019-07-09,전국,0.2
2019-07-10,전국,20.7
2019-07-11,전국,8.5
2019-07-12,전국,0.4
2019-07-13,전국,1.6
2019-07-14,전국,2.1
2019-07-15,전국,8.8
2019-07-16,전국,4.5
2019-07-17,전국,3.7
2019-07-18,전국,8.1
2019-07-19,전국,13.9
2019-07-20,전국,56.5
2019-07-21,전국,20
2019-07-22,전국,0.3
2019-07-23,전국,0
2019-07-24,전국,0.5
2019-07-25,전국,16.3
2019-07-26,전국,19
2019-07-27,전국,12.1
2019-07-28,전국,10.9
2019-07-29,전국,0.1
2019-07-30,전국,0.7
2019-07-31,전국,6
2019-08-01,전국,3.4
2019-08-02,전국,0.1
2019-08-03,전국,0.5
2019-08-04,전국,0.6
2019-08-05,전국,0.7
2019-08-06,전국,10.9
2019-08-07,전국,14.7
2019-08-08,전국,5.7
2019-08-09,전국,0.1
2019-08-10,전국,0
2019-08-11,전국,8
2019-08-12,전국,15.5
2019-08-13,전국,1.2
2019-08-14,전국,1.2
2019-08-15,전국,15.8
2019-08-16,전국,1.9
2019-08-17,전국,2.1
2019-08-18,전국,0
2019-08-19,전국,0.4
2019-08-20,전국,0.2
2019-08-21,전국,8.6
2019-08-22,전국,25.2
2019-08-23,전국,0
2019-08-24,전국,0
2019-08-25,전국,1.2
2019-08-26,전국,0.1
2019-08-27,전국,16.7
2019-08-28,전국,0.9
2019-08-29,전국,4.2
2019-08-30,전국,0.2
2019-08-31,전국,0
2019-09-01,전국,0.8
2019-09-02,전국,11.4
2019-09-03,전국,13.1
2019-09-04,전국,11.9
2019-09-05,전국,22
2019-09-06,전국,2.9
2019-09-07,전국,12.3
2019-09-08,전국,0.8
2019-09-09,전국,8
2019-09-10,전국,15.3
2019-09-11,전국,7.4
2019-09-12,전국,5.6
2019-09-13,전국,0
2019-09-14,전국,0.1
2019-09-15,전국,0.4
2019-09-16,전국,0.2
2019-09-17,전국,0
2019-09-18,전국,0
2019-09-19,전국,0
2019-09-20,전국,0
2019-09-21,전국,40.1
2019-09-22,전국,65.1
2019-09-23,전국,0.4
2019-09-24,전국,0
2019-09-25,전국,0
2019-09-26,전국,0
2019-09-27,전국,1.5
2019-09-28,전국,1.8
2019-09-29,전국,0.1
2019-09-30,전국,0.1
2019-10-01,전국,9.4
2019-10-02,전국,106.3
2019-10-03,전국,28.9
2019-10-04,전국,0.3
2019-10-05,전국,3.2
2019-10-06,전국,0
2019-10-07,전국,8.6
2019-10-08,전국,0.1
2019-10-09,전국,0
2019-10-10,전국,0
2019-10-11,전국,0
2019-10-12,전국,0
2019-10-13,전국,0
2019-10-14,전국,3.4
2019-10-15,전국,1.2
2019-10-16,전국,0
2019-10-17,전국,0
2019-10-18,전국,3.8
2019-10-19,전국,0.2
2019-10-20,전국,0
2019-10-21,전국,0
