강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 포항
기간 : 20190701~20200630

날짜,지점,강수량(mm)
2019-07-01,138,0
2019-07-02,138,
2019-07-03,138,
2019-07-04,138,
2019-07-05,138,
2019-07-06,138,
2019-07-07,138,
2019-07-08,138,0.1
2019-07-09,138,
2019-07-10,138,26.4
2019-07-11,138,3
2019-07-12,138,
2019-07-13,138,
2019-07-14,138,
2019-07-15,138,0
2019-07-16,138,0.2
2019-07-17,138,
2019-07-18,138,5.7
2019-07-19,138,0.3
2019-07-20,138,58.4
2019-07-21,138,0.3
2019-07-22,138,
2019-07-23,138,
2019-07-24,138,
2019-07-25,138,0.5
2019-07-26,138,
2019-07-27,138,
2019-07-28,138,
2019-07-29,138,
2019-07-30,138,
2019-07-31,138,
2019-08-01,138,
2019-08-02,138,
2019-08-03,138,
2019-08-04,138,
2019-08-05,138,
2019-08-06,138,60.1
2019-08-07,138,0.4
2019-08-08,138,0
2019-08-09,138,
2019-08-10,138,
2019-08-11,138,2
2019-08-12,138,
2019-08-13,138,
2019-08-14,138,3.9
2019-08-15,138,23
2019-08-16,138,
2019-08-17,138,
2019-08-18,138,
2019-08-19,138,16.4
2019-08-20,138,7.8
2019-08-21,138,42.7
2019-08-22,138,62
2019-08-23,138,0
2019-08-24,138,
2019-08-25,138,
2019-08-26,138,
2019-08-27,138,11.1
2019-08-28,138,2.3
2019-08-29,138,0
2019-08-30,138,
2019-08-31,138,
2019-09-01,138,0.5
2019-09-02,138,10.2
2019-09-03,138,28.2
2019-09-04,138,0.2
2019-09-05,138,8.3
2019-09-06,138,
2019-09-07,138,2.8
2019-09-08,138,0
2019-09-09,138,
2019-09-10,138,
2019-09-11,138,0
2019-09-12,138,0.1
2019-09-13,138,
2019-09-14,138,
2019-09-15,138,0.9
2019-09-16,138,
2019-09-17,138,
2019-09-18,138,
2019-09-19,138,0
2019-09-20,138,
2019-09-21,138,57.8
2019-09-22,138,162.9
2019-09-23,138,0.4
2019-09-24,138,
2019-09-25,138,
2019-09-26,138,
2019-09-27,138,0
2019-09-28,138,1.3
2019-09-29,138,
2019-09-30,138,
2019-10-01,138,0
2019-10-02,138,309.2
2019-10-03,138,13.1
2019-10-04,138,0
2019-10-05,138,0
2019-10-06,138,0
2019-10-07,138,2.5
2019-10-08,138,
2019-10-09,138,
2019-10-10,138,
2019-10-11,138,
2019-10-12,138,0.1
2019-10-13,138,
2019-10-14,138,15.1
2019-10-15,138,14
2019-10-16,138,
2019-10-17,138,0
2019-10-18,138,17.2
2019-10-19,138,0.6
2019-10-20,138,
2019-10-21,138,
2019-10-22,138,0
2019-10-23,138,0
2019-10-24,138,6
2019-10-25,138,4.1
2019-10-26,138,
2019-10-27,138,
2019-10-28,138,
2019-10-29,138,
2019-10-30,138,
2019-10-31,138,
2019-11-01,138,
2019-11-02,138,
2019-11-03,138,3.8
2019-11-04,138,0
2019-11-05,138,
2019-11-06,138,
2019-11-07,138,
2019-11-08,138,
2019-11-09,138,
2019-11-10,138,6.3
2019-11-11,138,0
2019-11-12,138,
2019-11-13,138,
2019-11-14,138,
2019-11-15,138,
2019-11-16,138,
2019-11-17,138,0.6
2019-11-18,138,9.4
2019-11-19,138,
2019-11-20,138,
2019-11-21,138,
2019-11-22,138,
2019-11-23,138,
2019-11-24,138,0
2019-11-25,138,9.5
2019-11-26,138,0.1
2019-11-27,138,
2019-11-28,138,16.8
2019-11-29,138,
2019-11-30,138,0.7
2019-12-01,138,18.9
2019-12-02,138,1.6
2019-12-03,138,0
2019-12-04,138,
2019-12-05,138,
2019-12-06,138,
2019-12-07,138,
2019-12-08,138,
2019-12-09,138,
2019-12-10,138,
2019-12-11,138,
2019-12-12,138,
2019-12-13,138,
2019-12-14,138,0
2019-12-15,138,0.4
2019-12-16,138,
2019-12-17,138,0
2019-12-18,138,
2019-12-19,138,
2019-12-20,138,
2019-12-21,138,
2019-12-22,138,
2019-12-23,138,
2019-12-24,138,
2019-12-25,138,
2019-12-26,138,0.7
2019-12-27,138,
2019-12-28,138,
2019-12-29,138,3.4
2019-12-30,138,2.6
2019-12-31,138,
2020-01-01,138,
2020-01-02,138,
2020-01-03,138,
2020-01-04,138,
2020-01-05,138,
2020-01-06,138,9.1
2020-01-07,138,62.7
2020-01-08,138,0
2020-01-09,138,
2020-01-10,138,
2020-01-11,138,
2020-01-12,138,
2020-01-13,138,
2020-01-14,138,
2020-01-15,138,
2020-01-16,138,
2020-01-17,138,0
2020-01-18,138,0.1
2020-01-19,138,
2020-01-20,138,
2020-01-21,138,
2020-01-22,138,2.2
2020-01-23,138,4.1
2020-01-24,138,5.7
2020-01-25,138,0
2020-01-26,138,1.8
2020-01-27,138,58.9
2020-01-28,138,6.9
2020-01-29,138,0.8
2020-01-30,138,0
2020-01-31,138,0
2020-02-01,138,
2020-02-02,138,
2020-02-03,138,
2020-02-04,138,
