기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 전국
기간 : 20190701~20200630

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-07-01,전국,23.2,19.9,26.9
2019-07-02,전국,23.4,18.5,29.2
2019-07-03,전국,23.1,18.4,28.5
2019-07-04,전국,24.4,18.4,31.2
2019-07-05,전국,25.1,19.1,32
2019-07-06,전국,25.1,19,31.3
2019-07-07,전국,23.5,19.8,28.2
2019-07-08,전국,22.6,18.9,27.3
2019-07-09,전국,22.6,18.4,27
2019-07-10,전국,20.9,19.2,23.3
2019-07-11,전국,22.2,19.7,25.6
2019-07-12,전국,23.2,19.6,27.9
2019-07-13,전국,23.3,20.1,27.8
2019-07-14,전국,23.9,20.2,29.1
2019-07-15,전국,23.2,20.6,27.1
2019-07-16,전국,23.8,20.3,28.7
2019-07-17,전국,24.4,20.7,28.8
2019-07-18,전국,24.3,21.4,27.8
2019-07-19,전국,25.2,22.1,28.5
2019-07-20,전국,24.8,23.2,27.1
2019-07-21,전국,24.8,22.6,27.8
2019-07-22,전국,27,23.2,31.6
2019-07-23,전국,27.9,24.2,32.8
2019-07-24,전국,26.8,24.8,29.7
2019-07-25,전국,26.6,24.8,29.2
2019-07-26,전국,26.5,24.7,29.2
2019-07-27,전국,27.1,24.6,30.5
2019-07-28,전국,26.9,25,29.9
2019-07-29,전국,27.8,24.3,32.1
2019-07-30,전국,28.4,24.7,32.5
2019-07-31,전국,28.4,25.2,32.2
2019-08-01,전국,28.4,24.6,33.1
2019-08-02,전국,28.8,24.3,34.2
2019-08-03,전국,28.3,24.2,34.1
2019-08-04,전국,28.4,23.9,34.2
2019-08-05,전국,28.8,24.2,34.6
2019-08-06,전국,27.6,23.8,32.1
2019-08-07,전국,27.2,23.8,32.1
2019-08-08,전국,27.6,24.2,33.2
2019-08-09,전국,28.3,24.2,33.6
2019-08-10,전국,28.6,24.5,33.4
2019-08-11,전국,28.3,24.8,32.3
2019-08-12,전국,27.7,25.3,31
2019-08-13,전국,28.5,24.3,33.7
2019-08-14,전국,28.6,24.7,33
2019-08-15,전국,26.1,24.2,29.1
2019-08-16,전국,26.4,23.3,30.7
2019-08-17,전국,26.2,22,31
2019-08-18,전국,25.3,21.1,30.8
2019-08-19,전국,25.1,20,30.8
2019-08-20,전국,26,21.7,30.9
2019-08-21,전국,25.8,22.5,30.1
2019-08-22,전국,25.8,23,30.3
2019-08-23,전국,24.7,20.8,29.5
