날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-07-01,138,24.8,22.5,26.9
2019-07-02,138,26,19.9,31.4
2019-07-03,138,24.8,21.5,28.8
2019-07-04,138,25.5,21.2,30.3
2019-07-05,138,24.5,22.3,28.1
2019-07-06,138,23,21.3,24.9
2019-07-07,138,22.5,21.4,23.9
2019-07-08,138,21.9,20.9,23.3
2019-07-09,138,22.1,21,23.5
2019-07-10,138,21.3,20.5,22.4
2019-07-11,138,24.2,22,28
2019-07-12,138,23.7,20.9,27
2019-07-13,138,24.7,22.5,28.1
2019-07-14,138,23.1,21.3,25.8
2019-07-15,138,23.1,20.8,25.3
2019-07-16,138,23.9,22.6,25.8
2019-07-17,138,24.3,22.1,26.7
2019-07-18,138,24.4,22.3,27.6
2019-07-19,138,25.4,23.5,27
2019-07-20,138,24.9,24,26.4
2019-07-21,138,27.4,25.2,30.6
2019-07-22,138,29.4,25,33.8
2019-07-23,138,30.5,27.2,35.1
2019-07-24,138,29.3,26.9,33
2019-07-25,138,28.5,26.9,31.1
2019-07-26,138,30.1,27.2,33.4
2019-07-27,138,29.8,27.4,33
2019-07-28,138,30.6,27.9,34.6
2019-07-29,138,30.3,27.1,35.1
2019-07-30,138,31.1,26.9,35.7
2019-07-31,138,32,28.3,36.5
2019-08-01,138,31.6,28.1,36.1
2019-08-02,138,29,25.3,33.8
2019-08-03,138,26.5,24.2,28.8
2019-08-04,138,28.7,24.9,34.1
2019-08-05,138,27,24.6,29.7
2019-08-06,138,25.7,23,27.2
2019-08-07,138,29.7,25,34.8
2019-08-08,138,29.7,26.7,35.7
2019-08-09,138,29.2,26,33.6
2019-08-10,138,27.2,25.3,29
2019-08-11,138,27.8,26,30.8
2019-08-12,138,30.8,27.1,35.3
2019-08-13,138,28,26.7,30
2019-08-14,138,27.3,26,29
2019-08-15,138,26.5,25.9,26.9
2019-08-16,138,29.1,25.4,32.8
2019-08-17,138,29.5,24.8,34.9
2019-08-18,138,27.8,25.9,32.2
2019-08-19,138,26.2,24.2,28.6
2019-08-20,138,25.9,23.6,28.1
2019-08-21,138,25.6,24.4,27.6
2019-08-22,138,25.7,24,28.5
2019-08-23,138,26.5,24.1,30.6
2019-08-24,138,24.4,21.9,27.2
2019-08-25,138,25.4,21.5,30.1
2019-08-26,138,25.3,21.3,28.9
2019-08-27,138,22.9,21.6,24.6
2019-08-28,138,24.1,22,26.6
2019-08-29,138,23.9,22.7,25.3
2019-08-30,138,25.2,21.1,30.3
2019-08-31,138,25.2,21,29.5
2019-09-01,138,23.4,21.5,26.6
2019-09-02,138,21.3,20.2,22.9
2019-09-03,138,22.1,20.2,23.5
2019-09-04,138,23.9,22.5,25
2019-09-05,138,25.9,23,29.3
2019-09-06,138,26.6,24.8,28.9
2019-09-07,138,27.7,25.7,30.1
2019-09-08,138,27.2,24.6,30.4
2019-09-09,138,26.7,25,30.8
2019-09-10,138,26.8,24,31.4
2019-09-11,138,23.7,22.8,24.8
2019-09-12,138,22.8,21.5,24
2019-09-13,138,22.5,20.3,25.3
2019-09-14,138,24.4,18.2,29.6
2019-09-15,138,23.6,20.3,26.2
2019-09-16,138,22.2,19.3,25.7
2019-09-17,138,22.4,19.7,25.5
2019-09-18,138,22.8,18.1,28.6
2019-09-19,138,21.4,18.4,23.8
2019-09-20,138,21.4,17.2,24.2
2019-09-21,138,20.4,17.9,23.2
2019-09-22,138,19,17.6,19.9
2019-09-23,138,18.6,16.9,21.1
2019-09-24,138,18.7,14.7,23.6
2019-09-25,138,19.6,13.9,23.7
2019-09-26,138,21.8,19.8,24.3
2019-09-27,138,22.2,20.3,24.1
2019-09-28,138,22.6,21.2,24.2
2019-09-29,138,24.8,22.4,28.9
2019-09-30,138,23.9,20.2,26.9
2019-10-01,138,23.8,23.2,24.8
2019-10-02,138,22.5,20.5,24
2019-10-03,138,24.5,21.3,27.9
2019-10-04,138,22,18.8,25
2019-10-05,138,20.7,17.5,25.2
2019-10-06,138,17.8,15,19.7
2019-10-07,138,16.5,15,18.9
2019-10-08,138,18.5,14.8,23.2
2019-10-09,138,16.4,11,22.8
2019-10-10,138,18.1,11.5,24.7
2019-10-11,138,20.3,16.1,23.3
2019-10-12,138,19.9,18,21.6
2019-10-13,138,17.8,15.6,20
2019-10-14,138,17.7,12.1,23.6
2019-10-15,138,14.5,11.4,16.7
